"millesimes";"name"
"1";"[evaluate] 2027F_DK = #SUM(2027F_GC)#"
"1,5";"[evaluate] 2027F_DL = 2027F_DA+2027F_DB+2027F_DC+2027F_DE+2027F_DF+2027F_DG+2027F_DH+2027F_DJ+2027F_DK"
"1";"[evaluate] 2027F_DX = #SUM(2027F_GB)#"
"1,5";"[evaluate] 2027F_DZ = 2027F_DM+2027F_DN+2027F_EJ+2027F_EK+2027F_DP+2027F_DQ+2027F_DR+2027F_DS+2027F_DT+2027F_DU+2027F_DV+2027F_DW+2027F_DX"
"1,5";"[evaluate] 2027F_EA = 2027F_DL-2027F_DZ"
"1,5";"[evaluate] 2027F_FB = 2027F_ED+2027F_EE+2027F_EF+2027F_EG+2027F_EH+2027F_FA"
"1,5";"[evaluate] 2027F_FG = 2027F_FC+2027F_FD+2027F_FE+2027F_FF"
"1,5";"[evaluate] 2027F_FM = 2027F_FH+2027F_FJ+2027F_FK+2027F_FL"
"1,5";"[evaluate] 2027F_FR = 2027F_FN+2027F_FP+2027F_FQ"
"1,5";"[evaluate] 2027F_FS = 2027F_FM-2027F_FR"
"1,5";"[evaluate] 2027F_FT = 2027F_DL+2027F_EB+2027F_FB+2027F_FM"
"1,5";"[evaluate] 2027F_FU = 2027F_DZ+2027F_EC+2027F_FG+2027F_FR"
"1,5";"[evaluate] 2027F_FV = 2027F_FT-2027F_FU"
"1";"[evaluate] 2027G_BG = #SUM(2027G_PB)#"
"1";"[evaluate] 2027G_BL = #SUM(2027G_QB)#"
"1,5";"[evaluate] 2027G_BM = 2027G_BA+2027G_BB+2027G_BC+2027G_BD+2027G_BE+2027G_BF+2027G_BG+2027G_BH+2027G_BJ+2027G_BK+2027G_BL"
"1";"[evaluate] 2027G_BV = #SUM(2027G_RB)#"
"1,5";"[evaluate] 2027G_BW = 2027G_BN+2027G_BP+2027G_BQ+2027G_BR+2027G_BS+2027G_BT+2027G_BU+2027G_BV"
"1,5";"[evaluate] 2027G_BX = 2027G_BM+2027G_BW"
"1";"[evaluate] 2027G_DG = #SUM(2027G_PC)#"
"1";"[evaluate] 2027G_DL = #SUM(2027G_QC)#"
"1,5";"[evaluate] 2027G_DM = 2027G_DA+2027G_DB+2027G_DC+2027G_DD+2027G_DE+2027G_DF+2027G_DG+2027G_DH+2027G_DJ+2027G_DK+2027G_DL"
"1";"[evaluate] 2027G_DV = #SUM(2027G_RC)#"
"1,5";"[evaluate] 2027G_DW = 2027G_DN+2027G_DP+2027G_DQ+2027G_DR+2027G_DS+2027G_DT+2027G_DU+2027G_DV"
"1,5";"[evaluate] 2027G_DX = 2027G_DM+2027G_DW"
"1";"[evaluate] 2027G_FG = #SUM(2027G_PD)#"
"1";"[evaluate] 2027G_FL = #SUM(2027G_QD)#"
"1,5";"[evaluate] 2027G_FM = 2027G_FA+2027G_FB+2027G_FC+2027G_FD+2027G_FE+2027G_FF+2027G_FG+2027G_FH+2027G_FJ+2027G_FK+2027G_FL"
"1";"[evaluate] 2027G_FV = #SUM(2027G_RD)#"
"1,5";"[evaluate] 2027G_FW = 2027G_FN+2027G_FP+2027G_FQ+2027G_FR+2027G_FS+2027G_FT+2027G_FU+2027G_FV"
"1,5";"[evaluate] 2027G_FX = 2027G_FM+2027G_FW"
"1,5";"[evaluate] 2027G_HA = 2027G_BA+2027G_DA-2027G_FA"
"1,5";"[evaluate] 2027G_HB = 2027G_BB+2027G_DB-2027G_FB"
"1,5";"[evaluate] 2027G_HC = 2027G_BC+2027G_DC-2027G_FC"
"1,5";"[evaluate] 2027G_HD = 2027G_BD+2027G_DD-2027G_FD"
"1,5";"[evaluate] 2027G_HE = 2027G_BE+2027G_DE-2027G_FE"
"1,5";"[evaluate] 2027G_HF = 2027G_BF+2027G_DF-2027G_FF"
"1,5";"[evaluate] 2027G_HG = 2027G_BG+2027G_DG-2027G_FG"
"1,5";"[evaluate] 2027G_HH = 2027G_BH+2027G_DH-2027G_FH"
"1,5";"[evaluate] 2027G_HJ = 2027G_BJ+2027G_DJ-2027G_FJ"
"1,5";"[evaluate] 2027G_HK = 2027G_BK+2027G_DK-2027G_FK"
"1,5";"[evaluate] 2027G_HL = 2027G_BL+2027G_DL-2027G_FL"
"1,5";"[evaluate] 2027G_HM = 2027G_BM+2027G_DM-2027G_FM"
"1,5";"[evaluate] 2027G_HN = 2027G_BN+2027G_DN-2027G_FN"
"1,5";"[evaluate] 2027G_HP = 2027G_BP+2027G_DP-2027G_FP"
"1,5";"[evaluate] 2027G_HQ = 2027G_BQ+2027G_DQ-2027G_FQ"
"1,5";"[evaluate] 2027G_HR = 2027G_BR+2027G_DR-2027G_FR"
"1,5";"[evaluate] 2027G_HS = 2027G_BS+2027G_DS-2027G_FS"
"1,5";"[evaluate] 2027G_HT = 2027G_BT+2027G_DT-2027G_FT"
"1,5";"[evaluate] 2027G_HU = 2027G_BU+2027G_DU-2027G_FU"
"1,5";"[evaluate] 2027G_HV = 2027G_BV+2027G_DV-2027G_FV"
